provider,network_name,station_name,latitude,longitude,station_opened,station_closed,station_id
BGR,GR,BUG,51.4412,7.2707,1991-09-01 00:00:00,,GR_BUG
BGR,GR,CLL,51.30803,13.00238,1993-04-01 00:00:00,,GR_CLL
BGR,GR,CLZ,51.8429,10.3741,1991-02-01 00:00:00,,GR_CLZ
BGR,GR,GRA1,49.690776,11.220436,1976-02-17 00:00:00,,GR_GRA1
BGR,GR,GRA2,49.654107,11.358088,1976-02-17 00:00:00,,GR_GRA2
BGR,GR,GRA3,49.761076,11.31735,1976-02-17 00:00:00,,GR_GRA3
BGR,GR,GRB4,49.467841,11.55948,1978-04-04 00:00:00,,GR_GRB4
BGR,GR,GSH,50.737,6.3798,1995-07-13 00:00:00,,GR_GSH
BGR,GR,TNS,50.2236,8.4489,1991-05-01 00:00:00,,GR_TNS
BGR,GR,WET,49.1448,12.8803,1991-06-01 00:00:00,,GR_WET
BGR,TH,SCHD,50.53513,11.21193,2008-05-20 00:00:00,,TH_SCHD
BGR,TH,TAUT,50.98161,11.71074,2008-05-16 00:00:00,,TH_TAUT
BGR,SX,GUNZ,50.3635,12.3316,2003-01-01 00:00:00,,SX_GUNZ
BGR,SX,MULD,50.4118,12.4039,2008-03-21 00:00:00,,SX_MULD
BGR,SX,ROHR,50.234,12.317,2002-08-21 00:00:00,,SX_ROHR
BGR,SX,SCHF,50.6772,12.4031,2002-08-21 00:00:00,,SX_SCHF
BGR,SX,TANN,50.415,12.461,2012-06-05 00:00:00,,SX_TANN
BGR,SX,WERD,50.448,12.307,2003-01-01 00:00:00,,SX_WERD
BGR,SX,WERN,50.2874,12.3761,2005-11-07 12:00:00,,SX_WERN
BGR,SX,FBE,50.92117,13.35414,2005-04-26 00:00:00,,SX_FBE
GEONET,NZ,BFZ,-40.679647283,176.246245098,1996-04-03 00:00:00,,NZ_BFZ
GEONET,NZ,BKZ,-39.165665643,176.492543736,2004-02-11 00:00:00,,NZ_BKZ
GEONET,NZ,HIZ,-38.51292897,174.855686101,2004-02-03 00:00:00,,NZ_HIZ
GEONET,NZ,KHZ,-42.41598,173.53897,1988-12-08 00:00:00,,NZ_KHZ
