provider,network_name,station_name,latitude,longitude,station_opened,station_closed
BGR,GR,BUG,51.4412,7.2707,1991-09-01T00:00:00.000000Z,
BGR,GR,CLL,51.30803,13.00238,1993-04-01T00:00:00.000000Z,
BGR,GR,CLZ,51.8429,10.3741,1991-02-01T00:00:00.000000Z,
BGR,GR,GRA1,49.690776,11.220436,1976-02-17T00:00:00.000000Z,
BGR,GR,GRA2,49.654107,11.358088,1976-02-17T00:00:00.000000Z,
BGR,GR,GRA3,49.761076,11.31735,1976-02-17T00:00:00.000000Z,
BGR,GR,GRB4,49.467841,11.55948,1978-04-04T00:00:00.000000Z,
BGR,GR,GSH,50.737,6.3798,1995-07-13T00:00:00.000000Z,
BGR,GR,TNS,50.2236,8.4489,1991-05-01T00:00:00.000000Z,
BGR,GR,WET,49.1448,12.8803,1991-06-01T00:00:00.000000Z,
BGR,TH,SCHD,50.53513,11.21193,2008-05-20T00:00:00.000000Z,
BGR,TH,TAUT,50.98161,11.71074,2008-05-16T00:00:00.000000Z,
BGR,SX,GUNZ,50.3635,12.3316,2003-01-01T00:00:00.000000Z,
BGR,SX,MULD,50.4118,12.4039,2008-03-21T00:00:00.000000Z,
BGR,SX,ROHR,50.234,12.317,2002-08-21T00:00:00.000000Z,
BGR,SX,SCHF,50.6772,12.4031,2002-08-21T00:00:00.000000Z,
BGR,SX,TANN,50.415,12.461,2012-06-05T00:00:00.000000Z,
BGR,SX,WERD,50.448,12.307,2003-01-01T00:00:00.000000Z,
BGR,SX,WERN,50.2874,12.3761,2005-11-07T12:00:00.000000Z,
BGR,SX,FBE,50.92117,13.35414,2005-04-26T00:00:00.000000Z,
GEONET,NZ,BFZ,-40.679647283,176.246245098,1996-04-03T00:00:00.000000Z,
GEONET,NZ,BKZ,-39.165665643,176.492543736,2004-02-11T00:00:00.000000Z,
GEONET,NZ,HIZ,-38.51292897,174.855686101,2004-02-03T00:00:00.000000Z,
GEONET,NZ,KHZ,-42.41598,173.53897,1988-12-08T00:00:00.000000Z,
GEONET,NZ,QRZ,-40.825521618,172.529147829,1990-04-26T00:00:00.000000Z,
GEONET,NZ,URZ,-38.259249093,177.110894471,1990-10-09T00:00:00.000000Z,
GEONET,NZ,WPVZ,-39.20400432,175.545921935,2003-12-10T00:00:00.000000Z,2010-12-01T00:00:00.000000Z
ICGC,CA,CAVN,41.881578,0.750608,1999-06-01T00:00:00.000000Z,
ICGC,CA,CBEU,42.255629,2.675797,2007-05-01T00:00:00.000000Z,
ICGC,CA,CBRU,42.284408,2.179001,2000-12-01T00:00:00.000000Z,
ICGC,CA,CBUD,40.7044,0.8263,2016-03-09T00:00:00.000000Z,
ICGC,CA,CFAR,40.5604,0.6614,2016-03-01T00:00:00.000000Z,
ICGC,CA,CGAR,41.293309,1.913703,2001-08-01T00:00:00.000000Z,
ICGC,CA,CFON,41.761185,2.434581,1999-06-01T00:00:00.000000Z,
ICGC,CA,CLLI,42.478105,1.972973,1999-06-01T00:00:00.000000Z,
ICGC,CA,CMAS,40.72568,0.313875,2006-04-01T00:00:00.000000Z,
ICGC,CA,CORG,42.229088,1.316531,2001-02-01T00:00:00.000000Z,
ICGC,CA,CORI,41.972401,2.048795,2006-02-01T00:00:00.000000Z,
ICGC,CA,CPAL,42.310533,3.16244,2007-03-01T00:00:00.000000Z,
ICGC,CA,CSOR,42.374429,1.132743,2001-12-01T00:00:00.000000Z,
ICGC,CA,CARA,42.707643,0.818132,2011-11-16T00:00:00.000000Z,
ICGC,CA,CCAS,41.882875,2.904141,2005-12-16T00:00:00.000000Z,
ICGC,CA,ARBS,42.434492,1.533754,2009-10-01T00:00:00.000000Z,
ICGC,CA,COBS,40.7141,1.3573,2005-08-13T00:00:00.000000Z,
ICGC,ES,EOSO,28.0718,-15.5525,2002-01-17T00:00:00.000000Z,
ICGC,ES,ECAL,41.9413,-6.7371,2001-12-07T00:00:00.000000Z,
ICGC,ES,EMUR,37.8422,-1.2405,2000-01-15T00:00:00.000000Z,
ICGC,ES,EJON,42.4487,2.8886,2002-03-22T00:00:00.000000Z,
IPGP,WI,ABD,16.47438,-61.48807,2012-09-26T00:00:00.000000Z,
IPGP,WI,ANBD,17.048,-61.765,2014-09-17T00:00:00.000000Z,
IPGP,GL,MML,16.04454,-61.66907,2016-09-15T15:00:00.000000Z,
IPGP,GL,TAG,16.03908,-61.66835,1994-01-01T00:00:00.000000Z,
IPGP,GL,AMC,16.04768,-61.6659,2003-02-01T00:00:00.000000Z,
IPGP,GL,SCG,16.02636,-61.68604,1997-01-08T00:00:00.000000Z,
IPGP,GL,CDE,16.04069,-61.66064,1968-01-01T00:00:00.000000Z,
IPGP,G,RER,-21.1712,55.73986,1986-02-10T00:00:00.000000Z,
IPGP,G,PEL,-33.143607,-70.67494,1995-10-04T00:00:00.000000Z,
IPGP,G,NOUC,-22.09863,166.30665,1988-03-21T00:00:00.000000Z,
IPGP,G,DRV,-66.664908,140.002069,1986-02-01T00:00:00.000000Z,
IPGP,G,AIS,-37.79635,77.569186,1993-12-25T00:00:00.000000Z,
IPGP,G,CCD,-75.1065,123.305,2007-01-01T00:00:00.000000Z,
IPGP,G,CRZF,-46.43096,51.855308,1986-02-01T00:00:00.000000Z,
IPGP,G,COYC,-45.57299,-72.08139,2004-12-17T00:00:00.000000Z,
IPGP,G,FDF,14.734971,-61.146311,1998-11-25T00:00:00.000000Z,
IPGP,G,KIP,21.42,-158.0112,1986-04-17T00:00:00.000000Z,
IPGP,G,PPTF,-17.5896,-149.56525,2009-04-25T00:00:00.000000Z,
IPGP,G,CAN,-35.318715,148.996325,1987-11-27T00:00:00.000000Z,
IPGP,G,TRIS,-37.0681,-12.3152,2004-03-03T00:00:00.000000Z,
IPGP,G,HDC,10.00201,-84.11142,1997-03-08T00:00:00.000000Z,
IPGP,G,CLF,48.02579,2.26,2008-07-10T00:00:00.000000Z,
IPGP,G,UNM,19.329662,-99.178065,1990-06-06T00:00:00.000000Z,
IPGP,G,WUS,41.200716,79.216498,1988-10-31T00:00:00.000000Z,
IPGP,G,FOMA,-24.97565,46.978877,2008-09-01T00:00:00.000000Z,
IPGP,G,ROCAM,-19.75553,63.37014,2012-12-15T00:00:00.000000Z,
IPGP,G,MBO,14.392024,-16.955467,1985-09-01T00:00:00.000000Z,
