provider,network_name,station_name,latitude,longitude,station_opened,station_closed
BGR,GR,A055,52.40486,9.822588,2008-11-10T00:00:00.000000Z,
BGR,GR,A803,52.09688226,13.41821484,2000-01-01T00:00:00.000000Z,
BGR,GR,A807,52.09690725,13.41822442,2000-01-01T00:00:00.000000Z,
BGR,GR,A816,52.09689728,13.41818973,2000-01-01T00:00:00.000000Z,
BGR,GR,AHRW,50.541,7.076,2009-02-01T00:00:00.000000Z,
BGR,GR,ASSE,52.13,10.673,2008-01-24T00:00:00.000000Z,
BGR,GR,ASSE,52.128318,10.673773,2015-06-18T00:00:00.000000Z,
BGR,GR,BBOS,52.96149,10.24777,2016-07-13T00:00:00.000000Z,
BGR,GR,BEDT,52.9359,10.432478,2016-11-04T00:00:00.000000Z,
BGR,GR,BFO,48.3301,8.3296,1991-01-01T00:00:00.000000Z,
BGR,GR,BKS1,52.99476,9.399817,2013-07-17T00:00:00.000000Z,
BGR,GR,BKSB,52.99476,9.399817,2013-07-17T00:00:00.000000Z,
BGR,GR,BRG,50.8733,13.9436,1993-02-01T00:00:00.000000Z,
BGR,GR,BRG,50.8733,13.9436,2015-06-01T00:00:00.000000Z,
BGR,GR,BRNL,52.4278,13.358,1991-07-01T00:00:00.000000Z,
BGR,GR,BSEG,53.93595,10.3164,1996-01-01T00:00:00.000000Z,
BGR,GR,BUG,51.4412,7.2707,1991-09-01T00:00:00.000000Z,
BGR,GR,CLL,51.30803,13.00238,1993-04-01T00:00:00.000000Z,
BGR,GR,CLNZ,52.94234,10.953575,2007-12-26T00:00:00.000000Z,
BGR,GR,CLZ,51.8429,10.3741,1991-02-01T00:00:00.000000Z,
BGR,GR,DEEL,52.95723,9.3143,2013-08-27T00:00:00.000000Z,
BGR,GR,DREG,50.663,6.233,2008-04-29T00:00:00.000000Z,
BGR,GR,FAHL,52.90823,8.15365,2014-07-17T00:00:00.000000Z,
BGR,GR,FBRG,52.90554,10.198,2017-09-13T00:00:00.000000Z,
BGR,GR,FUR,48.1639,11.2768,1991-03-01T00:00:00.000000Z,
BGR,GR,GEA0,48.835994,13.700943,1997-01-01T00:00:00.000000Z,
BGR,GR,GEA1,48.83551,13.70295,1997-01-01T00:00:00.000000Z,
BGR,GR,GEA2,48.83781,13.70092,1997-01-01T00:00:00.000000Z,
BGR,GR,GEA3,48.83422,13.69901,1997-01-01T00:00:00.000000Z,
BGR,GR,GEB1,48.83811,13.7065,1997-01-01T00:00:00.000000Z,
BGR,GR,GEB2,48.8387,13.69765,1997-01-01T00:00:00.000000Z,
BGR,GR,GEB3,48.83618,13.69491,1997-01-01T00:00:00.000000Z,
BGR,GR,GEB4,48.83204,13.69785,1997-01-01T00:00:00.000000Z,
BGR,GR,GEB5,48.83382,13.70501,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC1,48.84045,13.70891,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC2,48.844303,13.700627,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC3,48.841561,13.690754,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC4,48.83432,13.68669,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC5,48.828793,13.694742,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC6,48.82599,13.70791,1997-01-01T00:00:00.000000Z,
BGR,GR,GEC7,48.83471,13.713505,1997-01-01T00:00:00.000000Z,
BGR,GR,GED1,48.8516,13.7138,1997-01-01T00:00:00.000000Z,
BGR,GR,GED2,48.8526,13.69518,1997-01-01T00:00:00.000000Z,
BGR,GR,GED3,48.84568,13.68086,1997-01-01T00:00:00.000000Z,
BGR,GR,GED4,48.837773,13.678704,1997-01-01T00:00:00.000000Z,
BGR,GR,GED5,48.82379,13.67969,1997-01-01T00:00:00.000000Z,
BGR,GR,GED6,48.81877,13.69562,1997-01-01T00:00:00.000000Z,
BGR,GR,GED7,48.819997,13.715016,1997-01-01T00:00:00.000000Z,
BGR,GR,GED8,48.83234,13.72505,1997-01-01T00:00:00.000000Z,
BGR,GR,GED9,48.84261,13.722265,1997-01-01T00:00:00.000000Z,
BGR,GR,GOLD,52.92199,9.4255,2008-04-04T00:00:00.000000Z,
BGR,GR,GOR1,52.9903,11.3075,2009-11-11T00:00:00.000000Z,
BGR,GR,GOR2,53.0661,11.3017,2013-11-25T00:00:00.000000Z,
BGR,GR,GOR3,53.0332,11.4347,2013-10-30T00:00:00.000000Z,
BGR,GR,GOR5,52.9228,11.2217,2014-03-21T00:00:00.000000Z,
BGR,GR,GOR6,53.004,11.1735,2014-01-17T00:00:00.000000Z,
BGR,GR,GRA1,49.690776,11.220436,1976-02-17T00:00:00.000000Z,
BGR,GR,GRA2,49.654107,11.358088,1976-02-17T00:00:00.000000Z,
BGR,GR,GRA3,49.761076,11.31735,1976-02-17T00:00:00.000000Z,
BGR,GR,GRA4,49.5643,11.43454,1976-02-17T00:00:00.000000Z,
BGR,GR,GRB1,49.39027,11.65059,1978-04-04T00:00:00.000000Z,
BGR,GR,GRB2,49.269795,11.668055,1978-04-04T00:00:00.000000Z,
BGR,GR,GRB3,49.3426,11.80465,1978-04-04T00:00:00.000000Z,
BGR,GR,GRB4,49.467841,11.55948,1978-04-04T00:00:00.000000Z,
BGR,GR,GRB5,49.11106,11.675285,1978-04-04T00:00:00.000000Z,
BGR,GR,GRC1,48.99513,11.52001,1978-12-13T00:00:00.000000Z,
BGR,GR,GRC2,48.86656,11.37416,1978-12-13T00:00:00.000000Z,
BGR,GR,GRC3,48.889145,11.58448,1978-12-13T00:00:00.000000Z,
BGR,GR,GRC4,49.0857,11.52495,1978-12-13T00:00:00.000000Z,
BGR,GR,GSH,50.737,6.3798,1995-07-13T00:00:00.000000Z,
BGR,GR,GTTG,51.54639,9.96417,2003-01-01T00:00:00.000000Z,
BGR,GR,HALO,53.03025,9.2168,2020-01-21T00:00:00.000000Z,
BGR,GR,HAM,53.465,9.9247,1991-02-01T00:00:00.000000Z,
BGR,GR,HAM3,53.56815,9.973939,2009-01-09T00:00:00.000000Z,
BGR,GR,HAM4,53.479425,10.238953,2015-03-13T00:00:00.000000Z,
BGR,GR,HAN0,52.40489,9.81982,2009-05-04T00:00:00.000000Z,
BGR,GR,HAN0D,52.40484,9.81994,2010-05-18T00:00:00.000000Z,
BGR,GR,HAN1,52.40431,9.84257,2009-01-01T00:00:00.000000Z,
