provider,network_name,station_name,latitude,longitude,station_opened,station_closed,station_id
BGR,GR,BUG,51.4412,7.2707,1991-09-01T00:00:00.000000Z,,GR_BUG
BGR,GR,CLL,51.30803,13.00238,1993-04-01T00:00:00.000000Z,,GR_CLL
BGR,GR,CLZ,51.8429,10.3741,1991-02-01T00:00:00.000000Z,,GR_CLZ
BGR,GR,GRA1,49.690776,11.220436,1976-02-17T00:00:00.000000Z,,GR_GRA1
BGR,GR,GRA2,49.654107,11.358088,1976-02-17T00:00:00.000000Z,,GR_GRA2
BGR,GR,GRA3,49.761076,11.31735,1976-02-17T00:00:00.000000Z,,GR_GRA3
BGR,GR,GRB4,49.467841,11.55948,1978-04-04T00:00:00.000000Z,,GR_GRB4
BGR,GR,GSH,50.737,6.3798,1995-07-13T00:00:00.000000Z,,GR_GSH
BGR,GR,TNS,50.2236,8.4489,1991-05-01T00:00:00.000000Z,,GR_TNS
BGR,GR,WET,49.1448,12.8803,1991-06-01T00:00:00.000000Z,,GR_WET
BGR,TH,SCHD,50.53513,11.21193,2008-05-20T00:00:00.000000Z,,TH_SCHD
BGR,TH,TAUT,50.98161,11.71074,2008-05-16T00:00:00.000000Z,,TH_TAUT
BGR,SX,GUNZ,50.3635,12.3316,2003-01-01T00:00:00.000000Z,,SX_GUNZ
BGR,SX,MULD,50.4118,12.4039,2008-03-21T00:00:00.000000Z,,SX_MULD
BGR,SX,ROHR,50.234,12.317,2002-08-21T00:00:00.000000Z,,SX_ROHR
BGR,SX,SCHF,50.6772,12.4031,2002-08-21T00:00:00.000000Z,,SX_SCHF
BGR,SX,TANN,50.415,12.461,2012-06-05T00:00:00.000000Z,,SX_TANN
BGR,SX,WERD,50.448,12.307,2003-01-01T00:00:00.000000Z,,SX_WERD
BGR,SX,WERN,50.2874,12.3761,2005-11-07T12:00:00.000000Z,,SX_WERN
BGR,SX,FBE,50.92117,13.35414,2005-04-26T00:00:00.000000Z,,SX_FBE
GEONET,NZ,BFZ,-40.679647283,176.246245098,1996-04-03T00:00:00.000000Z,,NZ_BFZ
GEONET,NZ,BKZ,-39.165665643,176.492543736,2004-02-11T00:00:00.000000Z,,NZ_BKZ
GEONET,NZ,HIZ,-38.51292897,174.855686101,2004-02-03T00:00:00.000000Z,,NZ_HIZ
GEONET,NZ,KHZ,-42.41598,173.53897,1988-12-08T00:00:00.000000Z,,NZ_KHZ
GEONET,NZ,QRZ,-40.825521618,172.529147829,1990-04-26T00:00:00.000000Z,,NZ_QRZ
GEONET,NZ,URZ,-38.259249093,177.110894471,1990-10-09T00:00:00.000000Z,,NZ_URZ
GEONET,NZ,WPVZ,-39.20400432,175.545921935,2003-12-10T00:00:00.000000Z,2010-12-01T00:00:00.000000Z,NZ_WPVZ
ICGC,CA,CAVN,41.881578,0.750608,1999-06-01T00:00:00.000000Z,,CA_CAVN
ICGC,CA,CBEU,42.255629,2.675797,2007-05-01T00:00:00.000000Z,,CA_CBEU
ICGC,CA,CBRU,42.284408,2.179001,2000-12-01T00:00:00.000000Z,,CA_CBRU
ICGC,CA,CBUD,40.7044,0.8263,2016-03-09T00:00:00.000000Z,,CA_CBUD
ICGC,CA,CFAR,40.5604,0.6614,2016-03-01T00:00:00.000000Z,,CA_CFAR
ICGC,CA,CGAR,41.293309,1.913703,2001-08-01T00:00:00.000000Z,,CA_CGAR
ICGC,CA,CFON,41.761185,2.434581,1999-06-01T00:00:00.000000Z,,CA_CFON
ICGC,CA,CLLI,42.478105,1.972973,1999-06-01T00:00:00.000000Z,,CA_CLLI
ICGC,CA,CMAS,40.72568,0.313875,2006-04-01T00:00:00.000000Z,,CA_CMAS
ICGC,CA,CORG,42.229088,1.316531,2001-02-01T00:00:00.000000Z,,CA_CORG
ICGC,CA,CORI,41.972401,2.048795,2006-02-01T00:00:00.000000Z,,CA_CORI
ICGC,CA,CPAL,42.310533,3.16244,2007-03-01T00:00:00.000000Z,,CA_CPAL
ICGC,CA,CSOR,42.374429,1.132743,2001-12-01T00:00:00.000000Z,,CA_CSOR
ICGC,CA,CARA,42.707643,0.818132,2011-11-16T00:00:00.000000Z,,CA_CARA
ICGC,CA,CCAS,41.882875,2.904141,2005-12-16T00:00:00.000000Z,,CA_CCAS
ICGC,CA,ARBS,42.434492,1.533754,2009-10-01T00:00:00.000000Z,,CA_ARBS
ICGC,CA,COBS,40.7141,1.3573,2005-08-13T00:00:00.000000Z,,CA_COBS
ICGC,ES,EOSO,28.0718,-15.5525,2002-01-17T00:00:00.000000Z,,ES_EOSO
ICGC,ES,ECAL,41.9413,-6.7371,2001-12-07T00:00:00.000000Z,,ES_ECAL
ICGC,ES,EMUR,37.8422,-1.2405,2000-01-15T00:00:00.000000Z,,ES_EMUR
ICGC,ES,EJON,42.4487,2.8886,2002-03-22T00:00:00.000000Z,,ES_EJON
IPGP,WI,ABD,16.47438,-61.48807,2012-09-26T00:00:00.000000Z,,WI_ABD
IPGP,WI,ANBD,17.048,-61.765,2014-09-17T00:00:00.000000Z,,WI_ANBD
IPGP,GL,MML,16.04454,-61.66907,2016-09-15T15:00:00.000000Z,,GL_MML
IPGP,GL,TAG,16.03908,-61.66835,1994-01-01T00:00:00.000000Z,,GL_TAG
IPGP,GL,AMC,16.04768,-61.6659,2003-02-01T00:00:00.000000Z,,GL_AMC
IPGP,GL,SCG,16.02636,-61.68604,1997-01-08T00:00:00.000000Z,,GL_SCG
IPGP,GL,CDE,16.04069,-61.66064,1968-01-01T00:00:00.000000Z,,GL_CDE
IPGP,G,RER,-21.1712,55.73986,1986-02-10T00:00:00.000000Z,,G_RER
IPGP,G,PEL,-33.143607,-70.67494,1995-10-04T00:00:00.000000Z,,G_PEL
IPGP,G,NOUC,-22.09863,166.30665,1988-03-21T00:00:00.000000Z,,G_NOUC
IPGP,G,DRV,-66.664908,140.002069,1986-02-01T00:00:00.000000Z,,G_DRV
IPGP,G,AIS,-37.79635,77.569186,1993-12-25T00:00:00.000000Z,,G_AIS
IPGP,G,CCD,-75.1065,123.305,2007-01-01T00:00:00.000000Z,,G_CCD
IPGP,G,CRZF,-46.43096,51.855308,1986-02-01T00:00:00.000000Z,,G_CRZF
IPGP,G,COYC,-45.57299,-72.08139,2004-12-17T00:00:00.000000Z,,G_COYC
IPGP,G,FDF,14.734971,-61.146311,1998-11-25T00:00:00.000000Z,,G_FDF
IPGP,G,KIP,21.42,-158.0112,1986-04-17T00:00:00.000000Z,,G_KIP
IPGP,G,PPTF,-17.5896,-149.56525,2009-04-25T00:00:00.000000Z,,G_PPTF
IPGP,G,CAN,-35.318715,148.996325,1987-11-27T00:00:00.000000Z,,G_CAN
IPGP,G,TRIS,-37.0681,-12.3152,2004-03-03T00:00:00.000000Z,,G_TRIS
IPGP,G,HDC,10.00201,-84.11142,1997-03-08T00:00:00.000000Z,,G_HDC
IPGP,G,CLF,48.02579,2.26,2008-07-10T00:00:00.000000Z,,G_CLF
IPGP,G,UNM,19.329662,-99.178065,1990-06-06T00:00:00.000000Z,,G_UNM
IPGP,G,WUS,41.200716,79.216498,1988-10-31T00:00:00.000000Z,,G_WUS
IPGP,G,FOMA,-24.97565,46.978877,2008-09-01T00:00:00.000000Z,,G_FOMA
IPGP,G,ROCAM,-19.75553,63.37014,2012-12-15T00:00:00.000000Z,,G_ROCAM
IPGP,G,MBO,14.392024,-16.955467,1985-09-01T00:00:00.000000Z,,G_MBO
IPGP,G,ATD,11.530725,42.846634,1993-07-07T00:00:00.000000Z,,G_ATD
IPGP,G,MPG,5.11011,-52.644483,2000-07-03T00:00:00.000000Z,,G_MPG
IPGP,G,TAOE,-8.85492,-140.14775,2004-11-01T20:00:00.000000Z,,G_TAOE
IPGP,G,DZM,-22.07164,166.44377,2003-09-01T00:00:00.000000Z,,G_DZM
IRIS,2H,ICEZ,-77.551697,167.281998,2017-01-01T00:00:00.000000Z,,2H_ICEZ
IRIS,2H,NAUS,-77.521896,167.150406,2016-12-18T00:00:00.000000Z,,2H_NAUS
IRIS,4F,VALP,32.5202,-97.1425,2017-03-10T00:00:00.000000Z,,4F_VALP
IRIS,4F,VBB1,32.452,-97.2331,2015-05-10T00:00:00.000000Z,,4F_VBB1
IRIS,4F,VNLC,32.5759,-97.2036,2015-05-10T00:00:00.000000Z,,4F_VNLC
IRIS,4F,VSAB,32.4963,-97.2303,2015-05-10T00:00:00.000000Z,,4F_VSAB
IRIS,5H,ANNI,37.935001,-77.9655,2017-06-15T22:30:00.000000Z,,5H_ANNI
IRIS,5H,BEAR,37.528999,-78.287003,2017-03-30T18:00:00.000000Z,,5H_BEAR
IRIS,5H,BEAV,37.998402,-77.999298,2017-06-08T17:30:00.000000Z,,5H_BEAV
IRIS,5H,BUCK,37.452,-78.663498,2017-05-19T16:30:00.000000Z,,5H_BUCK
IRIS,5H,DAVE,37.551201,-78.370102,2017-04-21T16:00:00.000000Z,,5H_DAVE
IRIS,5H,DEBI,37.922401,-78.099197,2017-06-15T18:30:00.000000Z,,5H_DEBI
IRIS,5H,FORK,37.7425,-78.268799,2017-04-28T18:30:00.000000Z,,5H_FORK
IRIS,5H,GARY,37.924,-78.0159,2017-06-16T16:30:00.000000Z,,5H_GARY
IRIS,5H,GATE,37.7887,-78.407402,2017-06-09T15:30:00.000000Z,,5H_GATE
IRIS,5H,GOLD,37.683601,-78.368103,2017-06-23T19:30:00.000000Z,,5H_GOLD
IRIS,5H,GOOD,37.603199,-78.644798,2017-09-07T20:30:00.000000Z,,5H_GOOD
IRIS,5H,GREG,37.3825,-79.539299,2017-06-24T17:30:00.000000Z,,5H_GREG
IRIS,5H,HOPK,37.963001,-78.018799,2017-05-12T15:00:00.000000Z,,5H_HOPK
IRIS,5H,JILL,37.9781,-77.824898,2017-03-31T17:00:00.000000Z,,5H_JILL
IRIS,5H,KNDY,37.5835,-78.466202,2017-06-23T16:00:00.000000Z,,5H_KNDY
IRIS,5H,MARK,37.933498,-78.035004,2017-04-28T22:30:00.000000Z,,5H_MARK
IRIS,5H,METL,37.889301,-77.969902,2017-05-11T21:00:00.000000Z,,5H_METL
IRIS,5H,NORA,37.920502,-77.983002,2017-06-16T15:00:00.000000Z,,5H_NORA
IRIS,5H,PETT,37.978802,-77.812599,2017-04-29T17:30:00.000000Z,,5H_PETT
IRIS,5H,PTTI,37.940399,-77.986198,2017-04-20T19:00:00.000000Z,,5H_PTTI
IRIS,5H,PWTN,37.533001,-77.986,2017-03-30T21:00:00.000000Z,,5H_PWTN
IRIS,5H,SHOE,37.972698,-78.0308,2017-04-29T15:00:00.000000Z,,5H_SHOE
IRIS,5H,TRCY,37.900002,-77.839798,2017-03-31T19:00:00.000000Z,,5H_TRCY
IRIS,7F,ARK1,35.266602,-92.403503,2010-01-01T00:00:00.000000Z,,7F_ARK1
IRIS,7F,ARK2,35.334099,-92.298203,2010-01-01T00:00:00.000000Z,,7F_ARK2
IRIS,7F,X201,35.292599,-92.362297,2010-01-01T00:00:00.000000Z,,7F_X201
IRIS,7F,X301,35.242199,-92.4002,2010-01-01T00:00:00.000000Z,,7F_X301
IRIS,9F,COVA,-43.612999,169.968002,2010-01-22T00:00:00.000000Z,,9F_COVA
IRIS,9F,EORO,-43.425999,170.169006,2008-11-07T00:00:00.000000Z,,9F_EORO
IRIS,9F,FRAN,-43.380001,170.160004,2009-02-07T00:00:00.000000Z,,9F_FRAN
IRIS,9F,GOVA,-43.639,170.503006,2009-02-17T03:44:00.000000Z,,9F_GOVA
IRIS,9F,LABE,-43.546001,170.244995,2008-12-09T00:00:00.000000Z,,9F_LABE
IRIS,9F,MTBA,-43.688,169.641006,2013-03-27T11:59:59.000000Z,,9F_MTBA
IRIS,9F,POCR2,-43.352001,170.223007,2009-03-24T00:00:00.000000Z,,9F_POCR2
IRIS,9F,WHAT2,-43.278999,170.360001,2009-03-22T00:00:00.000000Z,,9F_WHAT2
IRIS,9F,WHYM,-43.441002,170.371002,2008-11-11T23:14:00.000000Z,,9F_WHYM
IRIS,AC,BCI,42.3666,20.067499,2009-12-22T00:00:00.000000Z,,AC_BCI
IRIS,AC,LSK,40.149899,20.5987,2010-01-01T00:00:00.000000Z,,AC_LSK
IRIS,AC,PHP,41.6847,20.4408,2009-12-22T00:00:00.000000Z,,AC_PHP
